,拼音,解释,例子,用法,谜语,感情,英语,结构,字数,年代,热度,词语解释,出处,正音,辨形,辨析,繁体,组合,歇后语,成语故事
不好意思,bù hǎo yì sī,①表示碍于情面而只能怎样或不便怎样。②害羞；难为情。,沾你的光了，真不好意思，让你破费。,作谓语、状语；用于口语。,心怀叵测,中性,feel shy（be ashamed of; be embarrassed）,偏正式,四字,古代,常用,不好意思,,,,,,,,
不知不觉,bù zhī bù jué,没有意识到；没有觉察到。,他的残忍和狠毒，时而不知不觉地在老人面前显露出来。（曹禺《王昭君》第二幕）,联合式；作谓语、定语；形容无意识的。,瞎子打瞌睡,中性,unconsciously（imperceptibly; in spite of oneself）,联合式,四字,古代,常用,不知不觉,宋 朱熹《朱子语类》第120卷：“圣贤之学是掯掯定定做，不知不觉自然做得彻。”,“觉”，不能读作“jiào”。,“知”，不能写作“之”。,不知不觉和“神不知；鬼不觉”；都有“不知不觉”的意思。但不知不觉指自己没有意识；察觉或注意到；“神不知；鬼不觉”偏重指行动悄悄进行；不让人察觉；这两者不能通用。,不知不覺,ABAC式,,
莫名其妙,mò míng qí miào,莫：没有什么人；名：表达；说出。没有人能够说出其中的奥妙。形容事情奇怪；不合常理。,这个人与众不同，常有些令人莫名其妙的惊人之举。,动宾式；作谓语、定语、状语；常与让人等组成兼语式。,夕阳无限好,中性,without rhyme or reason,动宾式,四字,近代,常用,莫名其妙,清 宣鼎《夜雨秋灯录 陬邑官亲》：“及进西瓜汤，饮兰雪茶，莫名其妙。”,“其”，不能读作“qī”。,“莫”，不能写作“漠”。,莫名其妙和“莫明其妙”有别：莫名其妙侧重在“不知道”其中奥妙；“莫明其妙”侧重在“说不出”其中奥妙。,莫名其玅,,三伏天吹西北风；听哑巴唱戏,
不可思议,bù kě sī yì,原是佛教用语；指神秘奥妙。不可用心意思忖；也不能用言语表达。后形容对事物情况、发展变化或言论无法想象很难理解。,一片澄澈的蔚蓝色的天宇，高深得不可思议。（郭沫若《少年时代 黑猫》）,偏正式；作谓语、定语、补语；用于人或物。,无法想无法说,中性,difficult to understand,偏正式,四字,古代,常用,不可思议,《维摩诘经 不思议品》：“诸佛菩萨有解脱名不可思议。”慧远义记：“不思据心，不议就口，解脱真德，妙在情妄心言不及，是故名为不可思议。”,“议”，不能读作“yí”。,“议”，不能写作“意”、“义”。,见“不堪设想”。,不可思議,,,
无论如何,wú lùn rú hé,不管怎样。,茅盾《色盲》：“可是她知道有你在，便推托身子不好，无论如何不肯来了。”,动宾式；作分句；指不管怎样。,,中性,however（right or wrong; anyway; anyhow）,动宾式,四字,近代,常用,无论如何,鲁迅《书信集 致宋崇义》：“要之，中国一切旧物，无论如何，定必崩溃。”,,,,無論如何,,,
小心翼翼,xiǎo xīn yì yì,谨慎小心；一点不敢疏忽。翼翼：恭敬慎重的样子。,母亲小心翼翼地起床做饭，心里欣喜地想，让儿子多睡一会，不要惊醒他。冯德英《迎春花》第二章,偏正式；作谓语、定语、状语；形容人的举动。,童年萦想插双翅,中性,cautiously,偏正式,四字,古代,常用,小心翼翼,《诗经 大雅 大明》：“维此文王，小心翼翼。”,,“翼”，不能写作“冀”。,小心翼翼和“战战兢兢”；都具有“小心谨慎”的意思；但小心翼翼含有崇敬的意思；“战战兢兢”含有害怕的意思。,,ABCC式,拿着鸡蛋走冰路,小心翼翼
各种各样,gè zhǒng gè yàng,具有多种多样的特征或具有各不相同的种类。,路遥《平凡的世界》第三卷第四章：“苗凯走后，田福军无心去理会各种各样的无稽之谈。”,作谓语、定语；形容种类多。,,中性,a great variety of（different）,联合式,四字,当代,常用,各种各样,朱自清《莱茵河》：“坐在轮船上两边看，那些古色古香各种各样的堡垒历历的从眼前过去。”,,,,各種各様,ABAC式,,
送货上门,sòng huò shàng mén,亲自将货物送到客户门上。指人自愿送上门来承担某种结果。,这是你送货上门，不能怪我了,作谓语、定语、宾语；用于商业等。,,中性,deliver goods to the consumer's home,连动式,四字,当代,一般,送货上门,李国文《冬天里的春天》第四章：“姑且我们认为那个女孩子不值钱，送货上门，以求达到什么目的，可你王纬宇并不是一头种马。”,,,,送貨上門,,,
前所未有,qián suǒ wèi yǒu,以前从未有过的。表示某种新出现的事物。,(1)社会主义制度的建立在中国历史上是前所未有的伟大变革。(2)我省今年工农业总产值超过历史最好水平，这是前所未有的。,偏正式；作谓语、定语；指从来没有过的。,新发明,中性,unprecedented（as never before; without precedent）,偏正式,四字,古代,常用,前所未有,宋 徐度《却扫编》下卷：“而邓枢密洵武以少保领院而不兼节钺，前所未有也。”,“所”，不能读作“shuǒ”。,“未”，不能写作“味”。,前所未有和“史无前例”；都有“从没有过”的意思。但前所未有仅指以前没有；语气较轻；适用范围比“史无前例”广；“史无前例”偏重在“史”和“例”；用于强调“历史上从未有过”或“没有先例”。,,,,
与众不同,yǔ zhòng bù tóng,和大家不一样。,从他与众不同的解题思路中，看出他很聪明。,偏正式；作谓语、定语、补语；形容出色。,三人,中性,out of the ordinary,偏正式,四字,古代,常用,与众不同,东汉 王充《论衡》：“故富贵之家，役使奴童，育养牛马，必有与众不同者矣。”,,,见“异乎寻常”。,與衆不同,,,与众不同
